# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 2.575000e+01
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	-1.891741e-05	4.849622e-05	8.970834e-06	-1.443199e-05	2.340282e-05
1             	-9.767590e+00	2.505130e+00	6.565139e+00	-6.485020e+00	1.305016e+01
2             	-1.040345e+01	1.702321e+00	4.756864e+00	-8.025014e+00	1.278188e+01
3             	-8.750658e+00	-2.485369e-01	-8.289269e-02	-8.792105e+00	8.709212e+00
4             	-5.231913e+00	-1.328979e+00	-2.453395e+00	-6.458611e+00	4.005215e+00
5             	-9.929272e-01	-9.822254e-01	-1.284768e+00	-1.635311e+00	3.505432e-01
6             	6.638047e-01	3.096012e-02	1.104271e+00	1.215940e+00	-1.116689e-01
7             	-1.808204e+00	6.961556e-01	2.415085e+00	-6.006610e-01	3.015746e+00
8             	-6.816516e+00	6.573225e-01	2.080802e+00	-5.776115e+00	7.856917e+00
9             	-1.008370e+01	1.612908e-01	9.231786e-01	-9.622108e+00	1.054529e+01
10            	-9.151108e+00	-2.913559e-01	1.242412e-01	-9.088987e+00	9.213228e+00
11            	-5.444571e+00	-4.136142e-01	1.120997e-01	-5.388522e+00	5.500621e+00
12            	-2.412112e+00	-1.960516e-01	7.090450e-01	-2.057590e+00	2.766635e+00
13            	-2.490487e+00	9.833422e-02	1.275816e+00	-1.852579e+00	3.128395e+00
14            	-5.238483e+00	2.501790e-01	1.460841e+00	-4.508063e+00	5.968903e+00
15            	-8.188237e+00	1.841229e-01	1.233040e+00	-7.571717e+00	8.804757e+00
16            	-9.220953e+00	2.574632e-04	8.706732e-01	-8.785616e+00	9.656289e+00
17            	-8.241891e+00	-1.572818e-01	6.275998e-01	-7.928092e+00	8.555691e+00
18            	-6.508992e+00	-1.763498e-01	6.811698e-01	-6.168407e+00	6.849577e+00
19            	-5.697465e+00	-8.177971e-02	9.096430e-01	-5.242644e+00	6.152287e+00
20            	-6.372859e+00	2.903352e-02	1.109682e+00	-5.818018e+00	6.927700e+00
21            	-7.971920e+00	7.665835e-02	1.151137e+00	-7.396352e+00	8.547489e+00
22            	-9.347113e+00	2.943147e-02	1.016528e+00	-8.838850e+00	9.855377e+00
23            	-9.890400e+00	-5.583431e-02	8.590555e-01	-9.460872e+00	1.031993e+01
24            	-9.626387e+00	-1.192889e-01	7.613272e-01	-9.245723e+00	1.000705e+01
25            	-9.185617e+00	-1.176203e-01	7.945832e-01	-8.788325e+00	9.582909e+00
26            	-9.193522e+00	-7.238345e-02	8.942313e-01	-8.746406e+00	9.640638e+00
27            	-9.878177e+00	-2.765115e-02	9.720258e-01	-9.392164e+00	1.036419e+01
28            	-1.077152e+01	-2.050043e-02	9.671517e-01	-1.028794e+01	1.125509e+01
29            	-1.135193e+01	-5.137247e-02	9.018301e-01	-1.090101e+01	1.180284e+01
30            	-1.141029e+01	-9.310441e-02	8.431407e-01	-1.098872e+01	1.183186e+01
31            	-1.111576e+01	-1.159190e-01	8.408186e-01	-1.069535e+01	1.153617e+01
32            	-1.075470e+01	-1.077274e-01	9.085804e-01	-1.030041e+01	1.120899e+01
33            	-1.061115e+01	-8.377417e-02	1.002521e+00	-1.010989e+01	1.111241e+01
34            	-1.071056e+01	-6.413632e-02	1.078084e+00	-1.017152e+01	1.124960e+01
35            	-1.091227e+01	-6.321073e-02	1.107973e+00	-1.035829e+01	1.146626e+01
36            	-1.104689e+01	-7.906367e-02	1.103695e+00	-1.049504e+01	1.159873e+01
37            	-1.103253e+01	-9.697866e-02	1.100573e+00	-1.048225e+01	1.158282e+01
38            	-1.091470e+01	-1.052132e-01	1.117868e+00	-1.035576e+01	1.147363e+01
39            	-1.080852e+01	-1.015540e-01	1.154883e+00	-1.023108e+01	1.138596e+01
40            	-1.081016e+01	-9.242864e-02	1.196798e+00	-1.021176e+01	1.140856e+01
41            	-1.093985e+01	-8.670556e-02	1.227348e+00	-1.032618e+01	1.155352e+01
42            	-1.114067e+01	-8.888591e-02	1.239522e+00	-1.052091e+01	1.176043e+01
43            	-1.131901e+01	-9.656863e-02	1.240682e+00	-1.069867e+01	1.193936e+01
44            	-1.142193e+01	-1.044784e-01	1.241017e+00	-1.080142e+01	1.204244e+01
45            	-1.144511e+01	-1.080457e-01	1.249941e+00	-1.082014e+01	1.207008e+01
46            	-1.143407e+01	-1.076221e-01	1.267614e+00	-1.080026e+01	1.206788e+01
47            	-1.143495e+01	-1.055300e-01	1.290352e+00	-1.078978e+01	1.208013e+01
48            	-1.147479e+01	-1.050577e-01	1.310945e+00	-1.081932e+01	1.213026e+01
49            	-1.155073e+01	-1.072586e-01	1.325255e+00	-1.088811e+01	1.221336e+01
50            	-1.164353e+01	-1.108841e-01	1.333895e+00	-1.097658e+01	1.231047e+01
51            	-1.172983e+01	-1.141717e-01	1.340923e+00	-1.105936e+01	1.240029e+01
52            	-1.179933e+01	-1.160693e-01	1.348840e+00	-1.112491e+01	1.247375e+01
53            	-1.185367e+01	-1.168895e-01	1.358369e+00	-1.117448e+01	1.253285e+01
54            	-1.189932e+01	-1.175424e-01	1.368755e+00	-1.121494e+01	1.258370e+01
55            	-1.194340e+01	-1.187704e-01	1.379231e+00	-1.125378e+01	1.263302e+01
56            	-1.198999e+01	-1.205673e-01	1.388692e+00	-1.129564e+01	1.268434e+01
57            	-1.203824e+01	-1.226767e-01	1.398642e+00	-1.133892e+01	1.273756e+01
58            	-1.208853e+01	-1.244075e-01	1.408058e+00	-1.138450e+01	1.279256e+01
59            	-1.214039e+01	-1.256717e-01	1.416510e+00	-1.143214e+01	1.284865e+01
60            	-1.219165e+01	-1.267911e-01	1.424286e+00	-1.147951e+01	1.290379e+01
61            	-1.224274e+01	-1.280448e-01	1.432707e+00	-1.152639e+01	1.295909e+01
62            	-1.229184e+01	-1.295105e-01	1.441430e+00	-1.157113e+01	1.301256e+01
63            	-1.233858e+01	-1.310640e-01	1.448903e+00	-1.161413e+01	1.306303e+01
64            	-1.238356e+01	-1.324789e-01	1.455299e+00	-1.165591e+01	1.311121e+01
65            	-1.242855e+01	-1.338009e-01	1.462073e+00	-1.169751e+01	1.315959e+01
66            	-1.247338e+01	-1.350634e-01	1.469536e+00	-1.173861e+01	1.320815e+01
67            	-1.251635e+01	-1.363048e-01	1.476553e+00	-1.177807e+01	1.325463e+01
68            	-1.255842e+01	-1.375996e-01	1.483791e+00	-1.181652e+01	1.330031e+01
69            	-1.259945e+01	-1.389001e-01	1.490566e+00	-1.185416e+01	1.334473e+01
70            	-1.263958e+01	-1.401525e-01	1.496784e+00	-1.189119e+01	1.338798e+01
71            	-1.267886e+01	-1.413213e-01	1.502398e+00	-1.192766e+01	1.343006e+01
72            	-1.271897e+01	-1.424859e-01	1.508494e+00	-1.196473e+01	1.347322e+01
