# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 3.200000e+00
# lRef        : 1.000000e+00
# Aref        : 1.750000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	-7.071617e-05	7.815435e-03	6.569539e-06	-6.743140e-05	7.400094e-05
1             	4.553245e-01	1.438510e+00	-5.293102e-02	4.288590e-01	-4.817900e-01
2             	2.677061e-01	9.172475e-01	-5.757156e-02	2.389203e-01	-2.964918e-01
3             	-2.620884e-02	-2.874976e-01	9.698879e-02	2.228555e-02	7.470324e-02
4             	-1.303701e-01	-8.436122e-01	2.283745e-01	-1.618281e-02	2.445573e-01
5             	-2.366148e-02	-4.496227e-01	2.154847e-01	8.408086e-02	1.314038e-01
6             	1.094795e-01	2.290126e-01	8.618478e-02	1.525719e-01	-6.638711e-02
7             	1.597542e-01	4.845172e-01	1.088940e-02	1.651989e-01	-1.543095e-01
8             	1.160787e-01	2.340819e-01	3.157619e-02	1.318668e-01	-1.002906e-01
9             	5.094266e-02	-1.306204e-01	1.064256e-01	1.041555e-01	2.270147e-03
10            	2.600255e-02	-2.448232e-01	1.522029e-01	1.021040e-01	5.009891e-02
11            	4.078600e-02	-9.600287e-02	1.312055e-01	1.063888e-01	2.481677e-02
12            	7.439272e-02	9.552129e-02	9.109984e-02	1.199426e-01	-2.884280e-02
13            	9.390759e-02	1.435366e-01	7.770916e-02	1.327622e-01	-5.505301e-02
14            	8.913566e-02	5.670735e-02	9.403718e-02	1.361543e-01	-4.211707e-02
15            	7.104270e-02	-4.075582e-02	1.153784e-01	1.287319e-01	-1.335350e-02
16            	5.492345e-02	-5.960477e-02	1.133215e-01	1.115842e-01	1.737291e-03
17            	5.381771e-02	-1.026338e-02	9.817426e-02	1.029048e-01	-4.730585e-03
18            	6.563115e-02	4.079185e-02	9.050601e-02	1.108842e-01	-2.037814e-02
19            	7.726265e-02	4.760919e-02	9.684334e-02	1.256843e-01	-2.884098e-02
20            	7.836418e-02	1.898200e-02	1.075946e-01	1.321615e-01	-2.456690e-02
21            	6.974802e-02	-7.520673e-03	1.101302e-01	1.248131e-01	-1.468292e-02
22            	6.065314e-02	-9.206555e-03	1.023963e-01	1.118513e-01	-9.454977e-03
23            	5.943105e-02	7.261689e-03	9.520652e-02	1.070343e-01	-1.182779e-02
24            	6.535781e-02	2.138648e-02	9.643934e-02	1.135775e-01	-1.713815e-02
25            	7.098411e-02	2.138589e-02	1.029088e-01	1.224385e-01	-1.952968e-02
26            	7.100365e-02	1.165257e-02	1.074468e-01	1.247271e-01	-1.728023e-02
27            	6.671562e-02	3.980734e-03	1.062896e-01	1.198604e-01	-1.357082e-02
28            	6.332793e-02	4.624470e-03	1.024885e-01	1.145722e-01	-1.208368e-02
29            	6.390351e-02	1.037189e-02	1.012566e-01	1.145318e-01	-1.327520e-02
30            	6.674776e-02	1.449512e-02	1.037356e-01	1.186156e-01	-1.487995e-02
31            	6.816893e-02	1.377372e-02	1.066586e-01	1.214982e-01	-1.483961e-02
32            	6.654517e-02	1.027535e-02	1.067548e-01	1.199226e-01	-1.316777e-02
33            	6.362731e-02	7.899839e-03	1.043550e-01	1.158048e-01	-1.144979e-02
34            	6.212044e-02	8.445889e-03	1.023930e-01	1.133170e-01	-1.092392e-02
35            	6.279854e-02	1.053293e-02	1.028609e-01	1.142290e-01	-1.136811e-02
36            	6.408331e-02	1.178358e-02	1.048407e-01	1.165037e-01	-1.166295e-02
37            	6.412946e-02	1.130934e-02	1.060194e-01	1.171392e-01	-1.111974e-02
38            	6.258510e-02	9.963763e-03	1.051253e-01	1.151477e-01	-1.002246e-02
39            	6.072484e-02	9.157960e-03	1.032264e-01	1.123380e-01	-9.111646e-03
40            	5.986618e-02	9.402332e-03	1.021303e-01	1.109313e-01	-8.801036e-03
41            	6.022619e-02	1.014055e-02	1.027129e-01	1.115826e-01	-8.869751e-03
42            	6.099212e-02	1.054967e-02	1.042686e-01	1.131264e-01	-8.857804e-03
43            	6.125638e-02	1.037403e-02	1.054239e-01	1.139683e-01	-8.544429e-03
44            	6.113048e-02	9.902972e-03	1.059984e-01	1.141297e-01	-8.131304e-03
45            	6.104382e-02	9.559878e-03	1.063290e-01	1.142083e-01	-7.879314e-03
46            	6.149532e-02	9.620570e-03	1.070540e-01	1.150223e-01	-7.968340e-03
47            	6.252204e-02	9.909508e-03	1.085707e-01	1.168074e-01	-8.236703e-03
48            	6.388702e-02	1.015323e-02	1.107902e-01	1.192821e-01	-8.491924e-03
49            	6.536562e-02	1.019204e-02	1.134270e-01	1.220791e-01	-8.652128e-03
50            	6.648529e-02	1.006958e-02	1.155445e-01	1.242575e-01	-8.713050e-03
51            	6.724540e-02	9.980482e-03	1.169071e-01	1.256989e-01	-8.791846e-03
52            	6.809814e-02	9.984175e-03	1.183117e-01	1.272540e-01	-8.942301e-03
53            	6.927726e-02	1.007576e-02	1.203096e-01	1.294321e-01	-9.122446e-03
54            	7.042935e-02	1.017995e-02	1.223374e-01	1.315981e-01	-9.260632e-03
55            	7.118385e-02	1.021420e-02	1.237920e-01	1.330798e-01	-9.287870e-03
56            	7.180682e-02	1.019974e-02	1.251086e-01	1.343611e-01	-9.252543e-03
