# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 3.200000e+00
# lRef        : 1.000000e+00
# Aref        : 1.750000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	-7.100218e-08	-2.838070e-08	-4.262147e-08	-4.747214e-08	-3.951030e-09	-4.352111e-08	1.978504e-08	7.120384e-09	-1.065030e-08	1.583701e-17	-1.065030e-08	1.065030e-08
2             	-5.817892e-08	-2.224167e-08	-3.593725e-08	-4.565271e-08	-4.643578e-09	-4.100913e-08	1.818278e-08	6.847791e-09	-8.726809e-09	1.578516e-17	-8.726809e-09	8.726809e-09
3             	-4.127744e-08	-1.383959e-08	-2.743785e-08	-4.532658e-08	-4.962039e-09	-4.036454e-08	1.770125e-08	6.799132e-09	-6.191587e-09	1.578512e-17	-6.191587e-09	6.191587e-09
4             	-2.823403e-08	-7.257234e-09	-2.097680e-08	-4.573118e-08	-5.124576e-09	-4.060661e-08	1.774101e-08	6.859781e-09	-4.235153e-09	1.578498e-17	-4.235153e-09	4.235153e-09
5             	-1.918803e-08	-2.850123e-09	-1.633791e-08	-4.496200e-08	-5.028911e-09	-3.993309e-08	1.745209e-08	6.743893e-09	-2.878205e-09	1.578508e-17	-2.878205e-09	2.878205e-09
6             	-1.302479e-08	2.481997e-11	-1.304961e-08	-4.358062e-08	-4.804335e-09	-3.877629e-08	1.698598e-08	6.537213e-09	-1.953709e-09	1.578513e-17	-1.953709e-09	1.953709e-09
7             	-8.735029e-09	1.947172e-09	-1.068220e-08	-4.209988e-08	-4.523799e-09	-3.757608e-08	1.652614e-08	6.314687e-09	-1.310255e-09	1.578511e-17	-1.310254e-09	1.310255e-09
8             	-5.735059e-09	3.234744e-09	-8.969803e-09	-4.067973e-08	-4.216317e-09	-3.646341e-08	1.612355e-08	6.102274e-09	-8.602604e-10	1.578509e-17	-8.602604e-10	8.602604e-10
9             	-3.652243e-09	4.084910e-09	-7.737153e-09	-3.940664e-08	-3.932829e-09	-3.547381e-08	1.577049e-08	5.911032e-09	-5.478364e-10	1.578511e-17	-5.478364e-10	5.478365e-10
10            	-2.225724e-09	4.638249e-09	-6.863973e-09	-3.833607e-08	-3.696248e-09	-3.463982e-08	1.547179e-08	5.751111e-09	-3.338771e-10	1.578513e-17	-3.338771e-10	3.338772e-10
11            	-1.223115e-09	5.015198e-09	-6.238313e-09	-3.751293e-08	-3.496172e-09	-3.401676e-08	1.526029e-08	5.626755e-09	-1.834319e-10	1.578513e-17	-1.834319e-10	1.834319e-10
12            	-5.512986e-10	5.246086e-09	-5.797385e-09	-3.681163e-08	-3.335906e-09	-3.347573e-08	1.506991e-08	5.521736e-09	-8.270216e-11	1.578513e-17	-8.270216e-11	8.270217e-11
13            	-7.725061e-10	5.122330e-09	-5.894837e-09	-3.672543e-08	-3.309719e-09	-3.341571e-08	1.505300e-08	5.508583e-09	-1.158348e-10	1.578514e-17	-1.158348e-10	1.158348e-10
14            	-2.368241e-08	-1.132107e-08	-1.236134e-08	-3.468307e-09	-4.995728e-09	1.527421e-09	-3.261575e-09	5.201342e-10	-3.552353e-09	1.578514e-17	-3.552353e-09	3.552353e-09
15            	-2.579118e-07	-1.622647e-09	-2.562892e-07	-8.488888e-07	-1.503158e-07	-6.985730e-07	2.741286e-07	1.273333e-07	-3.868678e-08	1.578514e-17	-3.868678e-08	3.868678e-08
16            	-3.023198e-06	-6.312956e-06	3.289758e-06	3.200904e-05	-1.151401e-06	3.316044e-05	-1.715592e-05	-4.801357e-06	-4.534797e-07	1.578513e-17	-4.534797e-07	4.534797e-07
17            	3.455195e-06	8.385864e-06	-4.930669e-06	-4.438844e-05	-9.953081e-07	-4.339313e-05	2.119891e-05	6.658266e-06	5.182791e-07	1.578513e-17	5.182791e-07	-5.182791e-07
18            	1.688394e-05	5.144821e-05	-3.456427e-05	-2.867082e-04	1.380132e-06	-2.880884e-04	1.447343e-04	4.300624e-05	2.532591e-06	1.578513e-17	2.532591e-06	-2.532591e-06
19            	1.963406e-05	6.774379e-05	-4.810973e-05	-3.861784e-04	-3.664050e-06	-3.825143e-04	1.894251e-04	5.792676e-05	2.945110e-06	1.578513e-17	2.945110e-06	-2.945110e-06
20            	2.326502e-05	7.865014e-05	-5.538511e-05	-4.467842e-04	-7.350770e-06	-4.394334e-04	2.160413e-04	6.701762e-05	3.489753e-06	1.578513e-17	3.489753e-06	-3.489753e-06
21            	2.445882e-05	8.589331e-05	-6.143449e-05	-4.910926e-04	-1.024961e-05	-4.808430e-04	2.352967e-04	7.366390e-05	3.668823e-06	1.578513e-17	3.668823e-06	-3.668823e-06
22            	2.577376e-05	9.064037e-05	-6.486661e-05	-5.183566e-04	-1.238456e-05	-5.059720e-04	2.467937e-04	7.775349e-05	3.866064e-06	1.578513e-17	3.866064e-06	-3.866064e-06
23            	2.683093e-05	9.377736e-05	-6.694643e-05	-5.357460e-04	-1.381278e-05	-5.219332e-04	2.540602e-04	8.036190e-05	4.024639e-06	1.578512e-17	4.024639e-06	-4.024639e-06
24            	2.757353e-05	9.542657e-05	-6.785304e-05	-5.442654e-04	-1.480381e-05	-5.294615e-04	2.573289e-04	8.163980e-05	4.136030e-06	1.578513e-17	4.136030e-06	-4.136030e-06
25            	2.803168e-05	9.619178e-05	-6.816010e-05	-5.478396e-04	-1.540858e-05	-5.324310e-04	2.585112e-04	8.217594e-05	4.204753e-06	1.578513e-17	4.204753e-06	-4.204753e-06
26            	2.830827e-05	9.634156e-05	-6.803329e-05	-5.479162e-04	-1.573133e-05	-5.321849e-04	2.582268e-04	8.218743e-05	4.246241e-06	1.578513e-17	4.246241e-06	-4.246241e-06
27            	2.848698e-05	9.604794e-05	-6.756096e-05	-5.453630e-04	-1.584509e-05	-5.295179e-04	2.568364e-04	8.180445e-05	4.273047e-06	1.578513e-17	4.273047e-06	-4.273047e-06
28            	2.860031e-05	9.549202e-05	-6.689171e-05	-5.412791e-04	-1.582039e-05	-5.254587e-04	2.548192e-04	8.119187e-05	4.290046e-06	1.578514e-17	4.290046e-06	-4.290046e-06
29            	2.867674e-05	9.475659e-05	-6.607985e-05	-5.361214e-04	-1.569446e-05	-5.204270e-04	2.523663e-04	8.041822e-05	4.301511e-06	1.578514e-17	4.301511e-06	-4.301511e-06
30            	2.872458e-05	9.389649e-05	-6.517191e-05	-5.302280e-04	-1.549979e-05	-5.147282e-04	2.496142e-04	7.953420e-05	4.308687e-06	1.578514e-17	4.308687e-06	-4.308687e-06
31            	2.875644e-05	9.295971e-05	-6.420327e-05	-5.238766e-04	-1.525908e-05	-5.086175e-04	2.466792e-04	7.858149e-05	4.313466e-06	1.578514e-17	4.313466e-06	-4.313466e-06
32            	2.877333e-05	9.197329e-05	-6.319996e-05	-5.172441e-04	-1.498862e-05	-5.022555e-04	2.436335e-04	7.758662e-05	4.315999e-06	1.578514e-17	4.315999e-06	-4.315999e-06
33            	2.879093e-05	9.092702e-05	-6.213609e-05	-5.102104e-04	-1.468845e-05	-4.955219e-04	2.404167e-04	7.653155e-05	4.318639e-06	1.578514e-17	4.318639e-06	-4.318639e-06
34            	2.880613e-05	8.983660e-05	-6.103047e-05	-5.028902e-04	-1.436755e-05	-4.885227e-04	2.370776e-04	7.543353e-05	4.320920e-06	1.578514e-17	4.320920e-06	-4.320920e-06
