# Force and moment coefficients
# dragDir     : (-1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (-0.000000e+00 -0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 -1.000000e+00 0.000000e+00)
# rollAxis    : (-1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (-0.000000e+00 -0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 -1.000000e+00 0.000000e+00)
# magUInf     : 9.800000e+00
# lRef        : 1.000000e+00
# Aref        : 1.750000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	1.020934e+00	2.205155e+00	-1.184221e+00	-1.129792e+01	-1.183986e+01	5.419362e-01	-6.190897e+00	1.694688e+00	1.531401e-01	1.488641e-18	1.531401e-01	-1.531401e-01
2             	5.871752e-01	7.549770e-01	-1.678019e-01	-3.075930e+00	-3.104633e+00	2.870373e-02	-1.566669e+00	4.613895e-01	8.807628e-02	1.570929e-18	8.807628e-02	-8.807628e-02
3             	4.252132e-01	1.819355e-01	2.432778e-01	2.044743e-01	2.874970e-01	-8.302267e-02	1.852598e-01	-3.067115e-02	6.378199e-02	1.606934e-18	6.378199e-02	-6.378199e-02
4             	2.985926e-01	-1.613489e-02	3.147275e-01	1.102875e+00	1.145363e+00	-4.248834e-02	5.939257e-01	-1.654312e-01	4.478889e-02	1.624470e-18	4.478889e-02	-4.478889e-02
5             	2.354706e-01	-5.634175e-03	2.411048e-01	8.224632e-01	8.534943e-01	-3.103112e-02	4.422627e-01	-1.233695e-01	3.532059e-02	1.630751e-18	3.532059e-02	-3.532059e-02
6             	2.301095e-01	2.828255e-03	2.272812e-01	7.481765e-01	7.801520e-01	-3.197550e-02	4.060638e-01	-1.122265e-01	3.451642e-02	1.630187e-18	3.451642e-02	-3.451642e-02
7             	2.223345e-01	1.497006e-02	2.073644e-01	6.413145e-01	6.786423e-01	-3.732780e-02	3.579850e-01	-9.619717e-02	3.335017e-02	1.629425e-18	3.335017e-02	-3.335017e-02
8             	2.129516e-01	2.521329e-02	1.877383e-01	5.417501e-01	5.851596e-01	-4.340944e-02	3.142845e-01	-8.126252e-02	3.194274e-02	1.628738e-18	3.194274e-02	-3.194274e-02
9             	1.631198e-01	1.814407e-02	1.449757e-01	4.227722e-01	4.883229e-01	-6.555074e-02	2.769368e-01	-6.341583e-02	2.446797e-02	1.633272e-18	2.446797e-02	-2.446797e-02
10            	1.356661e-01	8.658467e-03	1.270076e-01	3.944972e-01	4.567183e-01	-6.222110e-02	2.594697e-01	-5.917458e-02	2.034991e-02	1.636530e-18	2.034991e-02	-2.034991e-02
11            	1.138403e-01	1.527077e-03	1.123132e-01	3.692872e-01	4.209651e-01	-5.167788e-02	2.363215e-01	-5.539308e-02	1.707605e-02	1.638236e-18	1.707605e-02	-1.707605e-02
12            	1.132031e-01	2.227031e-03	1.109760e-01	3.624967e-01	4.121363e-01	-4.963963e-02	2.308880e-01	-5.437451e-02	1.698046e-02	1.638232e-18	1.698046e-02	-1.698046e-02
13            	1.118121e-01	2.702718e-03	1.091094e-01	3.546888e-01	4.024825e-01	-4.779368e-02	2.251381e-01	-5.320332e-02	1.677181e-02	1.638213e-18	1.677181e-02	-1.677181e-02
14            	9.412678e-02	-6.092868e-03	1.002197e-01	3.543751e-01	3.946422e-01	-4.026715e-02	2.174547e-01	-5.315626e-02	1.411902e-02	1.640084e-18	1.411902e-02	-1.411902e-02
15            	8.244921e-02	-1.062954e-02	9.307875e-02	3.456943e-01	3.805276e-01	-3.483327e-02	2.076804e-01	-5.185414e-02	1.236738e-02	1.641481e-18	1.236738e-02	-1.236738e-02
